feature,saliency,group,example_rank_in_group,t_idx,timestamp,true_apcp_value,pred_apcp_value,true_label,pred_label,confidence,correct,example_id
HGT@surface,8.255529e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
TMP@1000mb,2.7369666e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
UGRD@500mb,1.8107826e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
RH@2m_above_ground,1.708521e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
UGRD@850mb,1.6321397e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
UGRD@10m_above_ground,1.6244375e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
MCDC@middle_cloud_layer,1.5427922e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
VGRD@925mb,1.3471437e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
VIL@entire_atmosphere,1.2998127e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
VGRD@250mb,1.2916247e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
TMP@2m_above_ground,1.1986786e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
UGRD@250mb,1.1931415e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
TMP@850mb,1.18517065e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
VGRD@500mb,1.1736427e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
GUST@surface,1.1556589e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
VGRD@700mb,1.1075674e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
VGRD@850mb,1.1012006e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
APCP_1hr_acc_fcst@surface,1.0961773e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
LCDC@low_cloud_layer,1.0200467e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
HGT@850mb,1.0196068e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
DPT@500mb,1.0072973e-07,confidently_correct,1,41565,2023-04-09 21:00:00,0.0,-0.1669401228427887,0,0,2.1669401228427887,True,01_confidently_correct_tidx_41565
