feature,mean_saliency,median_saliency,max_saliency,min_saliency,std_saliency,n_rows
HGT@surface,9.136046666666667e-07,9.364324e-07,9.788287e-07,8.255529e-07,7.914667885175808e-08,3
TMP@1000mb,3.4481620333333333e-07,3.723538e-07,3.8839815e-07,2.7369666e-07,6.211157198692557e-08,3
UGRD@850mb,2.3358820666666667e-07,2.6116635e-07,2.763843e-07,1.6321397e-07,6.141902303328045e-08,3
UGRD@10m_above_ground,2.3230978e-07,2.6279966e-07,2.7168593e-07,1.6244375e-07,6.066867445064957e-08,3
UGRD@250mb,1.8517364e-07,2.151749e-07,2.2103187e-07,1.1931415e-07,5.711112274934104e-08,3
VIL@entire_atmosphere,1.8134045666666667e-07,2.0554627e-07,2.0849383e-07,1.2998127e-07,4.4502770349547155e-08,3
MCDC@middle_cloud_layer,1.8012979333333333e-07,1.8967823e-07,1.9643193e-07,1.5427922e-07,2.2640499600694167e-08,3
UGRD@500mb,1.7426066333333332e-07,1.7876991e-07,1.8107826e-07,1.6293382e-07,9.877001308799814e-09,3
VGRD@250mb,1.5685977333333334e-07,1.6828173e-07,1.7313512e-07,1.2916247e-07,2.41090088468405e-08,3
UGRD@925mb,1.5568836166666667e-07,1.8842996e-07,1.9322803e-07,8.5407095e-08,6.09126235039549e-08,3
RH@2m_above_ground,1.5461121e-07,1.5484554e-07,1.708521e-07,1.3813599e-07,1.6359313747669856e-08,3
VGRD@925mb,1.4691712666666668e-07,1.456493e-07,1.6038771e-07,1.3471437e-07,1.2883541245769084e-08,3
VGRD@500mb,1.4423646333333333e-07,1.5351897e-07,1.6182615e-07,1.1736427e-07,2.3639762917511113e-08,3
GUST@surface,1.3761058666666666e-07,1.4229258e-07,1.5497329e-07,1.1556589e-07,2.0116575003465004e-08,3
VGRD@850mb,1.3171317333333335e-07,1.3823345e-07,1.4678601e-07,1.1012006e-07,1.9182895459445997e-08,3
TMP@850mb,1.3092790166666666e-07,1.322684e-07,1.4199824e-07,1.18517065e-07,1.179784288255308e-08,3
DPT@500mb,1.3045273666666666e-07,1.431297e-07,1.4749878e-07,1.0072973e-07,2.5833409743811085e-08,3
HGT@1000mb,1.3003563666666667e-07,1.4511208e-07,1.4576243e-07,9.92324e-08,2.667836727833308e-08,3
TMP@500mb,1.2797574666666666e-07,1.4581884e-07,1.4718167e-07,9.092673e-08,3.2092624594716974e-08,3
TMP@2m_above_ground,1.2765526333333331e-07,1.2564038e-07,1.3745755e-07,1.1986786e-07,8.966276524245348e-09,3
HCDC@high_cloud_layer,1.269923e-07,1.5485794e-07,1.5613136e-07,6.99876e-08,4.937162409918879e-08,3
APCP_1hr_acc_fcst@surface,1.2578371e-07,1.337812e-07,1.339522e-07,1.0961773e-07,1.4000410432208777e-08,3
UGRD@700mb,1.2477777466666669e-07,1.4038024e-07,1.4066838e-07,9.3284704e-08,2.727417975259101e-08,3
LCDC@low_cloud_layer,1.2361288666666664e-07,1.3173769e-07,1.370963e-07,1.0200467e-07,1.8904098653948915e-08,3
UGRD@1000mb,1.2216391e-07,1.3177815e-07,1.4041326e-07,9.430032e-08,2.4513792381924506e-08,3
VGRD@700mb,1.2163675333333335e-07,1.2401513e-07,1.3013839e-07,1.1075674e-07,9.907300129552621e-09,3
TCDC@entire_atmosphere,1.2009917866666668e-07,1.2807764e-07,1.3204611e-07,1.00173786e-07,1.7369604003139086e-08,3
HGT@850mb,1.1894672333333333e-07,1.2646471e-07,1.2841478e-07,1.0196068e-07,1.4742623387397282e-08,3
DPT@850mb,1.1237797333333332e-07,1.2203934e-07,1.2817178e-07,8.69228e-08,2.2257045899241275e-08,3
TMP@925mb,1.0251432666666666e-07,1.0612155e-07,1.1238157e-07,8.903986e-08,1.2081717657826365e-08,3
PWAT@entire_atmosphere_single_layer,9.943113000000001e-08,1.1791094e-07,1.2166744e-07,5.871501e-08,3.5311182987168536e-08,3
HGT@700mb,9.397608299999999e-08,1.06333374e-07,1.099566e-07,6.5638275e-08,2.4608036560144674e-08,3
CAPE@surface,8.611774866666667e-08,8.8199556e-08,9.606834e-08,7.408535e-08,1.1138375270427248e-08,3
VGRD@1000mb,8.581102466666666e-08,9.266633e-08,9.9796424e-08,6.497032e-08,1.8397303834111817e-08,3
VGRD@10m_above_ground,8.550817533333333e-08,8.5613856e-08,9.775341e-08,7.315726e-08,1.2298415548683702e-08,3
DPT@700mb,8.25289e-08,8.7470326e-08,9.182354e-08,6.8292834e-08,1.251945683325424e-08,3
RHPW@entire_atmosphere,7.6758548e-08,7.9191594e-08,8.485916e-08,6.622489e-08,9.552423212819461e-09,3
DPT@1000mb,7.3542985e-08,7.7331705e-08,7.8791125e-08,6.4506125e-08,7.860095780510564e-09,3
DPT@925mb,6.914046866666666e-08,7.0217666e-08,7.09872e-08,6.621654e-08,2.5612623411328507e-09,3
TMP@700mb,6.208796333333333e-08,6.818495e-08,7.015088e-08,4.792806e-08,1.2302169198894699e-08,3
DSWRF@surface,6.138797233333334e-08,5.886542e-08,7.293602e-08,5.2362477e-08,1.0516183746921518e-08,3
HGT@500mb,3.7954729333333333e-08,3.845379e-08,3.9342744e-08,3.6067654e-08,1.6936203201382928e-09,3
