feature,mean_saliency,median_saliency,max_saliency,min_saliency,std_saliency,n_rows
HGT@surface,2.0620409333333334e-06,1.8819982e-06,2.641169e-06,1.6629556e-06,5.133584550336084e-07,3
TMP@1000mb,5.415551866666666e-07,6.142463e-07,6.1580204e-07,3.9461722e-07,1.2725438938534784e-07,3
MCDC@middle_cloud_layer,3.7791889333333335e-07,4.17664e-07,4.639511e-07,2.5214158e-07,1.1135786150342569e-07,3
TMP@850mb,3.6183649666666666e-07,3.0707318e-07,5.65231e-07,2.1320531e-07,1.8229039262737967e-07,3
RH@2m_above_ground,3.5574444666666667e-07,3.2407053e-07,4.3720686e-07,3.0595595e-07,7.112754805075337e-08,3
UGRD@250mb,3.2713375e-07,3.384873e-07,4.6218597e-07,1.8072798e-07,1.4107206441004505e-07,3
VGRD@925mb,3.246226e-07,2.660254e-07,5.2390396e-07,1.8393844e-07,1.7739606135170422e-07,3
UGRD@10m_above_ground,3.183122400000001e-07,3.306769e-07,3.6028732e-07,2.639725e-07,4.933355603030052e-08,3
VGRD@850mb,3.0790732333333334e-07,2.6739255e-07,4.6716292e-07,1.891665e-07,1.4335824889727357e-07,3
UGRD@700mb,3.0694803e-07,2.746247e-07,4.8674053e-07,1.5947886e-07,1.6600797694542843e-07,3
APCP_1hr_acc_fcst@surface,3.061985833333333e-07,2.2810298e-07,4.6631502e-07,2.2417775e-07,1.3867879010779275e-07,3
GUST@surface,3.0119310666666665e-07,2.522772e-07,4.920797e-07,1.5922242e-07,1.7173545544242204e-07,3
UGRD@850mb,2.9121054e-07,3.0855202e-07,3.9650047e-07,1.6857913e-07,1.1494598515516626e-07,3
VGRD@250mb,2.883808466666667e-07,2.6062645e-07,3.4842589e-07,2.560902e-07,5.204997418531573e-08,3
UGRD@1000mb,2.7434754666666666e-07,2.6435478e-07,3.5179528e-07,2.0689258e-07,7.296635975614607e-08,3
DPT@500mb,2.7003968333333337e-07,2.9216554e-07,3.3101412e-07,1.8693939e-07,7.454225047628116e-08,3
VIL@entire_atmosphere,2.6646143666666664e-07,2.5403293e-07,3.558665e-07,1.8948488e-07,8.388421604764887e-08,3
LCDC@low_cloud_layer,2.628479333333333e-07,2.6070035e-07,3.27023e-07,2.0082045e-07,6.312867804932901e-08,3
DPT@850mb,2.430233533333333e-07,2.3413523e-07,2.874338e-07,2.0750103e-07,4.070087200859009e-08,3
VGRD@10m_above_ground,2.3080437000000003e-07,2.2306662e-07,3.4440694e-07,1.2493955e-07,1.0993811167948039e-07,3
TMP@2m_above_ground,2.2211773e-07,2.2819867e-07,2.860774e-07,1.5207712e-07,6.720678636478834e-08,3
UGRD@500mb,2.1617280000000003e-07,2.1219975e-07,2.7106324e-07,1.6525541e-07,5.3015686990305985e-08,3
VGRD@700mb,2.1450272000000002e-07,2.0291985e-07,3.0407662e-07,1.3651169e-07,8.438082483333459e-08,3
VGRD@500mb,2.080956633333333e-07,2.1439531e-07,2.452943e-07,1.6459738e-07,4.0715628270545353e-08,3
TCDC@entire_atmosphere,2.0167869e-07,1.7915359e-07,2.780423e-07,1.4784018e-07,6.79608939805172e-08,3
RHPW@entire_atmosphere,1.840473e-07,1.5996793e-07,2.8236178e-07,1.0981219e-07,8.87592378121269e-08,3
TMP@925mb,1.8012310666666667e-07,1.3418152e-07,2.821032e-07,1.240846e-07,8.846152567968817e-08,3
VGRD@1000mb,1.7843172e-07,1.9337708e-07,2.0031975e-07,1.4159833e-07,3.208697758984631e-08,3
HCDC@high_cloud_layer,1.7754132333333335e-07,1.7879267e-07,2.420168e-07,1.118145e-07,6.511016919562284e-08,3
UGRD@925mb,1.7668505333333333e-07,1.7064673e-07,2.2857007e-07,1.3083836e-07,4.9144865412262894e-08,3
TMP@500mb,1.7211946333333332e-07,1.5214152e-07,2.2745702e-07,1.3675985e-07,4.8536922300189504e-08,3
PWAT@entire_atmosphere_single_layer,1.7108824133333333e-07,1.4778917e-07,2.8740288e-07,7.8072674e-08,1.0659230192536151e-07,3
HGT@1000mb,1.6661391666666668e-07,1.5753099e-07,2.0267096e-07,1.396398e-07,3.248240216425553e-08,3
CAPE@surface,1.6487146e-07,1.3944921e-07,2.5027677e-07,1.048884e-07,7.595500397676971e-08,3
DPT@1000mb,1.5856716666666666e-07,1.505389e-07,1.9176069e-07,1.3340191e-07,2.999627643600841e-08,3
HGT@850mb,1.5536083333333334e-07,1.5270246e-07,2.115199e-07,1.0186014e-07,5.487819195635853e-08,3
DPT@925mb,1.4903001333333332e-07,1.2298392e-07,2.0600743e-07,1.1809869e-07,4.940431029316604e-08,3
TMP@700mb,1.4821455133333335e-07,1.5317669e-07,2.023049e-07,8.9162064e-08,5.673440269925422e-08,3
DPT@700mb,1.3340237e-07,1.3232639e-07,1.7678406e-07,9.109666e-08,4.2853832143815336e-08,3
HGT@700mb,1.21405348e-07,1.1482126e-07,1.3660657e-07,1.12788214e-07,1.3203832085023342e-08,3
DSWRF@surface,1.1257547800000001e-07,8.1944734e-08,1.871883e-07,6.85934e-08,6.496052212688605e-08,3
HGT@500mb,7.427492066666666e-08,6.825802e-08,9.5898365e-08,5.8668377e-08,1.9330554100812438e-08,3
