architecture,method_1,method_2,layer,cka,cca_mean,cca_max,cca_first,cca_ncomp,n_samples,dim_1,dim_2
densenet121,full,full,features.conv0,1.0,0.9999973300515954,0.9999999999999798,0.9999999999999798,50,512,64,64
densenet121,full,full,features.denseblock1,1.0,0.9990855929982442,0.9999999999999643,0.9999999999999643,50,512,256,256
densenet121,full,full,features.denseblock2,1.0,0.9999941261177797,0.9999999999999711,0.9999999999999711,50,512,512,512
densenet121,full,full,features.denseblock3,1.0,0.9999971273600471,0.9999999999999942,0.9999999999999942,50,512,1024,1024
densenet121,full,full,features.denseblock4,1.0,0.9999839621387782,0.9999999999999812,0.9999999999999812,50,512,1024,1024
densenet121,full,full,classifier,1.0000004768371582,1.0,1.0,1.0,6,512,6,6
densenet121,full,gradual_unfreeze_every10,features.conv0,0.671513557434082,0.45273398851804686,0.9999999716505666,0.9999999716505666,50,512,64,64
densenet121,full,gradual_unfreeze_every10,features.denseblock1,0.33172404766082764,0.5065952961739544,0.9939714165932222,0.9939714165932222,50,512,256,256
densenet121,full,gradual_unfreeze_every10,features.denseblock2,0.26628729701042175,0.46292402185321074,0.9868112318680715,0.9868112318680715,50,512,512,512
densenet121,full,gradual_unfreeze_every10,features.denseblock3,0.023653728887438774,0.43168780324953493,0.9852620726844187,0.9852620726844187,50,512,1024,1024
densenet121,full,gradual_unfreeze_every10,features.denseblock4,0.5833478569984436,0.4671350439880096,0.9873742978719221,0.9873742978719221,50,512,1024,1024
densenet121,full,gradual_unfreeze_every10,classifier,0.8369210362434387,0.7454359179035218,0.9812488938450005,0.9812488938450005,6,512,6,6
densenet121,full,last_layer,features.conv0,0.671513557434082,0.4528198603672821,0.9999999720888604,0.9999999720888604,50,512,64,64
densenet121,full,last_layer,features.denseblock1,0.3530832529067993,0.5150641847142415,0.9942812949804952,0.9942812949804952,50,512,256,256
densenet121,full,last_layer,features.denseblock2,0.26946717500686646,0.4728377962850186,0.9878381251322588,0.9878381251322588,50,512,512,512
densenet121,full,last_layer,features.denseblock3,0.17756745219230652,0.43530034514571114,0.9839513734932203,0.9839513734932203,50,512,1024,1024
densenet121,full,last_layer,features.denseblock4,0.19448848068714142,0.4040832953443286,0.9808913303906268,0.9808913303906268,50,512,1024,1024
densenet121,full,last_layer,classifier,0.31414350867271423,0.457863734464027,0.7901821102875364,0.7901821102875364,6,512,6,6
densenet121,full,gradual_unfreeze_every10,features.conv0,0.671513557434082,0.4529537426714942,0.9999999720851055,0.9999999720851055,50,512,64,64
densenet121,full,gradual_unfreeze_every10,features.denseblock1,0.33172404766082764,0.5062745699732873,0.9939697144489371,0.9939697144489371,50,512,256,256
densenet121,full,gradual_unfreeze_every10,features.denseblock2,0.26628729701042175,0.4629202992243112,0.9868074257288404,0.9868074257288404,50,512,512,512
densenet121,full,gradual_unfreeze_every10,features.denseblock3,0.023653728887438774,0.43182012894997707,0.9852561305286052,0.9852561305286052,50,512,1024,1024
densenet121,full,gradual_unfreeze_every10,features.denseblock4,0.5833478569984436,0.4672227913959756,0.9873339464966605,0.9873339464966605,50,512,1024,1024
densenet121,full,gradual_unfreeze_every10,classifier,0.8369210362434387,0.7454359179035218,0.9812488938450005,0.9812488938450005,6,512,6,6
densenet121,full,last_layer,features.conv0,0.671513557434082,0.45329284577283396,0.9999999717184034,0.9999999717184034,50,512,64,64
densenet121,full,last_layer,features.denseblock1,0.3530832529067993,0.5148281911558297,0.9942437851649416,0.9942437851649416,50,512,256,256
densenet121,full,last_layer,features.denseblock2,0.26946717500686646,0.4728336354529915,0.9878438833197979,0.9878438833197979,50,512,512,512
densenet121,full,last_layer,features.denseblock3,0.17756745219230652,0.43535082991452123,0.9838928401304168,0.9838928401304168,50,512,1024,1024
densenet121,full,last_layer,features.denseblock4,0.19448848068714142,0.40357611882663413,0.9808739220494865,0.9808739220494865,50,512,1024,1024
densenet121,full,last_layer,classifier,0.31414350867271423,0.457863734464027,0.7901821102875364,0.7901821102875364,6,512,6,6
densenet121,gradual_unfreeze_every10,last_layer,features.conv0,1.0,0.9885684685893885,0.9999999999999791,0.9999999999999791,50,512,64,64
densenet121,gradual_unfreeze_every10,last_layer,features.denseblock1,0.8538163900375366,0.8677996062687171,0.9999599073056931,0.9999599073056931,50,512,256,256
densenet121,gradual_unfreeze_every10,last_layer,features.denseblock2,0.8658210635185242,0.8524137577257546,0.9999689051296619,0.9999689051296619,50,512,512,512
densenet121,gradual_unfreeze_every10,last_layer,features.denseblock3,0.15344306826591492,0.7370780337630282,0.9989260408103093,0.9989260408103093,50,512,1024,1024
densenet121,gradual_unfreeze_every10,last_layer,features.denseblock4,0.7373383045196533,0.6332247106623552,0.9975318603283527,0.9975318603283527,50,512,1024,1024
densenet121,gradual_unfreeze_every10,last_layer,classifier,0.3657526969909668,0.47682003986471755,0.8072795530439786,0.8072795530439786,6,512,6,6
