architecture,method_1,method_2,layer,cka,cca_mean,cca_max,cca_first,cca_ncomp,n_samples,dim_1,dim_2
resnet50,full,full,conv1,1.0000001192092896,0.9999983648782983,0.999999999999973,0.9999999999999662,50,512,64,64
resnet50,full,full,layer1,1.0,0.9954803324594631,0.9999999999999166,0.9999999999999166,50,512,256,256
resnet50,full,full,layer2,1.0,0.9997297486436794,0.9999999999999651,0.9999999999999651,50,512,512,512
resnet50,full,full,layer3,1.0,0.9999599443125821,0.999999999999996,0.999999999999996,50,512,1024,1024
resnet50,full,full,layer4,1.0,0.9999378836448105,0.9999999999999973,0.9999999999999973,50,512,2048,2048
resnet50,full,full,fc,0.9999996423721313,1.0,1.0,0.9999999999999998,6,512,6,6
resnet50,full,gradual_unfreeze_every10,conv1,0.684879720211029,0.9218181318298548,0.9999999890314,0.9999999890314,50,512,64,64
resnet50,full,gradual_unfreeze_every10,layer1,0.5496994853019714,0.622080881131211,0.9958820568144404,0.9958820568144404,50,512,256,256
resnet50,full,gradual_unfreeze_every10,layer2,0.5626779794692993,0.5380623853074111,0.9923217452972237,0.9923217452972237,50,512,512,512
resnet50,full,gradual_unfreeze_every10,layer3,0.33817487955093384,0.4821405531700226,0.9873316476889101,0.9873316476889101,50,512,1024,1024
resnet50,full,gradual_unfreeze_every10,layer4,0.5270225405693054,0.4525889006670439,0.9873829485890592,0.9873829485890592,50,512,2048,2048
resnet50,full,gradual_unfreeze_every10,fc,0.8492540717124939,0.7417244095642365,0.9796470391198316,0.9796470391198316,6,512,6,6
resnet50,full,last_layer,conv1,0.5744994282722473,0.446281478904934,0.999999981007211,0.999999981007211,50,512,64,64
resnet50,full,last_layer,layer1,0.25366121530532837,0.51600018435014,0.9946967430124777,0.9946967430124777,50,512,256,256
resnet50,full,last_layer,layer2,0.23434850573539734,0.5012837436155084,0.9915930047062714,0.9915930047062714,50,512,512,512
resnet50,full,last_layer,layer3,0.06186949461698532,0.45561337077804204,0.9828644917059434,0.9828644917059434,50,512,1024,1024
resnet50,full,last_layer,layer4,0.13880594074726105,0.368519226487873,0.9579591189201649,0.9579591189201649,50,512,2048,2048
resnet50,full,last_layer,fc,0.06581629067659378,0.48489209957515195,0.7868024114488785,0.7868024114488785,6,512,6,6
resnet50,full,gradual_unfreeze_every10,conv1,0.684879720211029,0.921819246892745,0.9999999890394592,0.9999999890394592,50,512,64,64
resnet50,full,gradual_unfreeze_every10,layer1,0.5496994853019714,0.6254300796134799,0.9960458649724653,0.9960458649724653,50,512,256,256
resnet50,full,gradual_unfreeze_every10,layer2,0.5626779794692993,0.5381041034436925,0.9923217365674466,0.9923217365674466,50,512,512,512
resnet50,full,gradual_unfreeze_every10,layer3,0.33817487955093384,0.481840565655376,0.9873252683213716,0.9873252683213716,50,512,1024,1024
resnet50,full,gradual_unfreeze_every10,layer4,0.5270225405693054,0.452608468572554,0.9873885747007353,0.9873885747007353,50,512,2048,2048
resnet50,full,gradual_unfreeze_every10,fc,0.8492540717124939,0.7417244095642365,0.9796470391198316,0.9796470391198316,6,512,6,6
resnet50,full,last_layer,conv1,0.5744994282722473,0.4476183296212849,0.9999999812461331,0.9999999812461331,50,512,64,64
resnet50,full,last_layer,layer1,0.25366121530532837,0.5180449567803448,0.9948046649641789,0.9948046649641789,50,512,256,256
resnet50,full,last_layer,layer2,0.23434850573539734,0.5009255537468076,0.9915757168426417,0.9915757168426417,50,512,512,512
resnet50,full,last_layer,layer3,0.06186949461698532,0.45546611696184436,0.982843786203267,0.982843786203267,50,512,1024,1024
resnet50,full,last_layer,layer4,0.13880594074726105,0.36868498789473086,0.957615105149002,0.957615105149002,50,512,2048,2048
resnet50,full,last_layer,fc,0.06581629067659378,0.48489209957515195,0.7868024114488785,0.7868024114488785,6,512,6,6
resnet50,gradual_unfreeze_every10,last_layer,conv1,0.975695788860321,0.4805598558155289,0.9999999961869905,0.9999999961869905,50,512,64,64
resnet50,gradual_unfreeze_every10,last_layer,layer1,0.21558038890361786,0.695374061221287,0.9994148499997781,0.9993856216688857,50,512,256,256
resnet50,gradual_unfreeze_every10,last_layer,layer2,0.16766010224819183,0.7669596669834087,0.9990920596196271,0.9990920596196271,50,512,512,512
resnet50,gradual_unfreeze_every10,last_layer,layer3,0.2892563045024872,0.7166497988793943,0.9970512032559272,0.9970512032559272,50,512,1024,1024
resnet50,gradual_unfreeze_every10,last_layer,layer4,0.407943457365036,0.4899539958024217,0.976127398849875,0.976127398849875,50,512,2048,2048
resnet50,gradual_unfreeze_every10,last_layer,fc,0.07425802201032639,0.5095846040332679,0.808441585446287,0.808441585446287,6,512,6,6
