architecture,strategy_1,strategy_2,layer,cka,cca_mean,cca_max,cca_first,cca_ncomp,n_samples,dim_1,dim_2
densenet121,full,gradual,features.conv0,0.9952756762504578,0.6891942928503041,0.9999999993870046,0.9999999993870046,50,512,64,64
densenet121,full,gradual,features.denseblock1,0.9765573143959045,0.8535539818196481,0.9999405092091884,0.9999405092091884,50,512,256,256
densenet121,full,gradual,features.denseblock2,0.9792608022689819,0.8239517675960961,0.9998964009086031,0.9998964009086031,50,512,512,512
densenet121,full,gradual,features.denseblock3,0.767856240272522,0.7760205609059283,0.9959616348451077,0.9952361049669111,50,512,1024,1024
densenet121,full,gradual,features.denseblock4,0.6395148634910583,0.6596703754459584,0.97547780464667,0.97547780464667,50,512,1024,1024
densenet121,full,gradual,classifier,0.23983916640281677,0.5713888038879982,0.9485677646153969,0.9485677646153969,50,512,196,196
densenet121,full,last_layer,features.conv0,0.9952787756919861,0.7102960646484787,0.9999999993337114,0.9999999993337114,50,512,64,64
densenet121,full,last_layer,features.denseblock1,0.9790890216827393,0.8587374531724926,0.9999434600718227,0.9999434600718227,50,512,256,256
densenet121,full,last_layer,features.denseblock2,0.9858748912811279,0.8463765545062851,0.9999185517640127,0.9999185517640127,50,512,512,512
densenet121,full,last_layer,features.denseblock3,0.8369683623313904,0.7889569714313965,0.9970245314945172,0.9970245314945172,50,512,1024,1024
densenet121,full,last_layer,features.denseblock4,0.48576292395591736,0.5876164134096737,0.981119019899856,0.981119019899856,50,512,1024,1024
densenet121,full,last_layer,classifier,0.11147841066122055,0.45756234080368974,0.9155032084863058,0.9155032084863058,50,512,196,196
densenet121,full,scratch,features.conv0,0.7371905446052551,0.6797023284975374,0.9999999922580824,0.9999999922580824,50,512,64,64
densenet121,full,scratch,features.denseblock1,0.6624805331230164,0.5567518854862223,0.9994575631108119,0.9994575631108119,50,512,256,256
densenet121,full,scratch,features.denseblock2,0.4221108555793762,0.5180243214581695,0.9955981678027951,0.9955981678027951,50,512,512,512
densenet121,full,scratch,features.denseblock3,0.4830286204814911,0.49245863051532596,0.9771844724757178,0.9771844724757178,50,512,1024,1024
densenet121,full,scratch,features.denseblock4,0.40377479791641235,0.45798064974399055,0.9098592247466138,0.9098592247466138,50,512,1024,1024
densenet121,full,scratch,classifier,0.13701775670051575,0.39860651081392284,0.8820838843629561,0.8820838843629561,50,512,196,196
densenet121,gradual,last_layer,features.conv0,0.9999967813491821,0.7025417226349105,0.9999999992666182,0.9999999992666182,50,512,64,64
densenet121,gradual,last_layer,features.denseblock1,0.9769957661628723,0.8685412338532288,0.9999649549680465,0.9999649549680465,50,512,256,256
densenet121,gradual,last_layer,features.denseblock2,0.983462393283844,0.8440890041087763,0.9999744028983614,0.9999744028983614,50,512,512,512
densenet121,gradual,last_layer,features.denseblock3,0.8796656727790833,0.8448910667246369,0.9975511239009057,0.9975511239009057,50,512,1024,1024
densenet121,gradual,last_layer,features.denseblock4,0.7660325765609741,0.7339148976777853,0.9885006351011298,0.9885006351011298,50,512,1024,1024
densenet121,gradual,last_layer,classifier,0.06655868142843246,0.539505316888651,0.9347447797475361,0.9347447797475361,50,512,196,196
densenet121,gradual,scratch,features.conv0,0.6694000363349915,0.6769976695118963,0.9999999929270353,0.9999999929270353,50,512,64,64
densenet121,gradual,scratch,features.denseblock1,0.6727637052536011,0.5518103646545256,0.9995061118640506,0.9995061118640506,50,512,256,256
densenet121,gradual,scratch,features.denseblock2,0.408256858587265,0.5200003013241071,0.9948167381709723,0.9948167381709723,50,512,512,512
densenet121,gradual,scratch,features.denseblock3,0.36822444200515747,0.4798105251597687,0.9786097048387075,0.9786097048387075,50,512,1024,1024
densenet121,gradual,scratch,features.denseblock4,0.35439014434814453,0.4599768628678336,0.9158088697989959,0.9158088697989959,50,512,1024,1024
densenet121,gradual,scratch,classifier,0.032050903886556625,0.4074157332128568,0.8925203415666382,0.8925203415666382,50,512,196,196
densenet121,last_layer,scratch,features.conv0,0.6694195866584778,0.676945594415144,0.9999999897876332,0.9999999897876332,50,512,64,64
densenet121,last_layer,scratch,features.denseblock1,0.6725289225578308,0.5514703156708956,0.9994522557862049,0.9994522557862049,50,512,256,256
densenet121,last_layer,scratch,features.denseblock2,0.41644713282585144,0.5152652065355317,0.9959526254996104,0.9959526254996104,50,512,512,512
densenet121,last_layer,scratch,features.denseblock3,0.3739137053489685,0.4766705578366705,0.9762096659152374,0.9762096659152374,50,512,1024,1024
densenet121,last_layer,scratch,features.denseblock4,0.2651028037071228,0.43135292035522643,0.9121734732590155,0.9121734732590155,50,512,1024,1024
densenet121,last_layer,scratch,classifier,0.04801948368549347,0.4013754562358142,0.8765174320349302,0.8765174320349302,50,512,196,196
