architecture,strategy_1,strategy_2,layer,cka,cca_mean,cca_max,cca_first,cca_ncomp,n_samples,dim_1,dim_2
resnet152,full,gradual,conv1,0.9996505379676819,0.7015605903737794,0.9999999999933229,0.9999999999933229,50,512,64,64
resnet152,full,gradual,layer1,0.9714024066925049,0.8743049605459019,0.9998469112157653,0.9998469112157653,50,512,256,256
resnet152,full,gradual,layer2,0.8940817713737488,0.8316665393578598,0.9987810239935143,0.9987810239935143,50,512,512,512
resnet152,full,gradual,layer3,0.7969014644622803,0.7250248316392558,0.9874675027976981,0.9874675027976981,50,512,1024,1024
resnet152,full,gradual,layer4,0.6186574101448059,0.6114410319858224,0.9560075826190323,0.9560075826190323,50,512,2048,2048
resnet152,full,gradual,fc,0.138204425573349,0.6092362374241818,0.9568883630988247,0.9568883630988247,50,512,196,196
resnet152,full,last_layer,conv1,0.9997705221176147,0.6990380407573853,0.9999999999985568,0.9999999999985568,50,512,64,64
resnet152,full,last_layer,layer1,0.8891144394874573,0.8750285503946382,0.9996510475128125,0.9996510475128125,50,512,256,256
resnet152,full,last_layer,layer2,0.9167321920394897,0.8280853939971471,0.9984259950161746,0.9984259950161746,50,512,512,512
resnet152,full,last_layer,layer3,0.7405943274497986,0.6683774341785836,0.979587000845759,0.979587000845759,50,512,1024,1024
resnet152,full,last_layer,layer4,0.37025389075279236,0.4231821811380046,0.9083546482176102,0.9083546482176102,50,512,2048,2048
resnet152,full,last_layer,fc,0.0044875191524624825,0.4388491317641396,0.9108270527430791,0.9108270527430791,50,512,196,196
resnet152,full,scratch,conv1,0.998523473739624,0.6800307678160665,0.9999999981888785,0.9999999981888785,50,512,64,64
resnet152,full,scratch,layer1,0.5760211944580078,0.5729821976971626,0.9992519767938242,0.9992519767938242,50,512,256,256
resnet152,full,scratch,layer2,0.3618317246437073,0.5066780613015756,0.9958180021056807,0.9958180021056807,50,512,512,512
resnet152,full,scratch,layer3,0.33260542154312134,0.4529914615074404,0.9509165506288046,0.9509165506288046,50,512,1024,1024
resnet152,full,scratch,layer4,0.3502868413925171,0.40594587176049257,0.8910938429558961,0.8910938429558961,50,512,2048,2048
resnet152,full,scratch,fc,0.027678189799189568,0.39106059685911854,0.8869612679505419,0.8869612679505419,50,512,196,196
resnet152,gradual,last_layer,conv1,0.999954104423523,0.7025213990424193,0.9999999999983352,0.9999999999983352,50,512,64,64
resnet152,gradual,last_layer,layer1,0.8925060629844666,0.8891296794901781,0.9997413450248305,0.9997413450248305,50,512,256,256
resnet152,gradual,last_layer,layer2,0.8887583613395691,0.8407358510004328,0.9989937496633885,0.9989937496633885,50,512,512,512
resnet152,gradual,last_layer,layer3,0.8269925117492676,0.7655096897442619,0.9862402366128363,0.9862402366128363,50,512,1024,1024
resnet152,gradual,last_layer,layer4,0.4778890907764435,0.5128148888827192,0.9165866564653006,0.9165866564653006,50,512,2048,2048
resnet152,gradual,last_layer,fc,0.0438997745513916,0.5385103666842517,0.9096783273225401,0.9096783273225401,50,512,196,196
resnet152,gradual,scratch,conv1,0.9988674521446228,0.6771845934112198,0.9999999981962379,0.9999999981962379,50,512,64,64
resnet152,gradual,scratch,layer1,0.5917710065841675,0.5741093184846251,0.9992691364860643,0.9992691364860643,50,512,256,256
resnet152,gradual,scratch,layer2,0.4081372618675232,0.49661565142116226,0.995526348846294,0.995526348846294,50,512,512,512
resnet152,gradual,scratch,layer3,0.3385047912597656,0.4640604150115834,0.9612088367799344,0.9612088367799344,50,512,1024,1024
resnet152,gradual,scratch,layer4,0.37979432940483093,0.424574954252734,0.891054884989935,0.891054884989935,50,512,2048,2048
resnet152,gradual,scratch,fc,0.03630988299846649,0.40682357181639267,0.8867502836089847,0.8867502836089847,50,512,196,196
resnet152,last_layer,scratch,conv1,0.9987145662307739,0.6819991344557598,0.9999999984185415,0.9999999984185415,50,512,64,64
resnet152,last_layer,scratch,layer1,0.5120956301689148,0.5622906126539937,0.9994027862876247,0.9994027862876247,50,512,256,256
resnet152,last_layer,scratch,layer2,0.37442758679389954,0.49302746096855643,0.9955299075488823,0.9955299075488823,50,512,512,512
resnet152,last_layer,scratch,layer3,0.3288074731826782,0.4621978487887759,0.9371504898812619,0.9371504898812619,50,512,1024,1024
resnet152,last_layer,scratch,layer4,0.30117273330688477,0.37810188800574585,0.8591076564884539,0.8591076564884539,50,512,2048,2048
resnet152,last_layer,scratch,fc,0.008261519484221935,0.3777192150916139,0.8648395515988762,0.8648395515988762,50,512,196,196
