variable,saliency
VIL@entire_atmosphere,9.043454e-08
APCP_1hr_acc_fcst@surface,5.0305246e-08
VGRD@10m_above_ground,8.449618e-09
UGRD@10m_above_ground,8.024365e-09
GUST@surface,6.631563e-09
UGRD@1000mb,6.629157e-09
VGRD@1000mb,6.4249197e-09
UGRD@925mb,4.355643e-09
UGRD@850mb,4.1966426e-09
VGRD@925mb,4.135317e-09
VGRD@850mb,4.033736e-09
UGRD@700mb,3.7464156e-09
TMP@500mb,3.516298e-09
VGRD@700mb,3.3500245e-09
TMP@700mb,3.2990477e-09
TMP@850mb,3.0587235e-09
TMP@2m_above_ground,2.7728715e-09
DPT@925mb,2.724536e-09
TMP@1000mb,2.7232663e-09
TMP@925mb,2.6613352e-09
DPT@1000mb,2.6275915e-09
UGRD@500mb,2.5871967e-09
DPT@500mb,2.451927e-09
VGRD@500mb,2.4200864e-09
DPT@850mb,2.3487612e-09
DPT@700mb,2.2484772e-09
PWAT@entire_atmosphere_single_layer,2.1836288e-09
RH@2m_above_ground,1.7799576e-09
UGRD@250mb,1.6516812e-09
RHPW@entire_atmosphere,1.5867343e-09
VGRD@250mb,1.5181252e-09
HCDC@high_cloud_layer,1.0523772e-09
MCDC@middle_cloud_layer,9.275699e-10
LCDC@low_cloud_layer,7.1621e-10
TCDC@entire_atmosphere,6.932657e-10
HGT@1000mb,4.3170717e-10
HGT@850mb,3.6547723e-10
HGT@700mb,2.4265548e-10
HGT@500mb,1.5374162e-10
HGT@surface,1.416189e-10
DSWRF@surface,1.0738279e-10
CAPE@surface,6.136085e-11
